ID,Label,Type,Gender,Year of Birth,Place of Birth,Image link
Q115839088,August Delbaere,Person,mannelijk,1847,Aalbeke,Geen foto beschikbaar
Q55672664,Hortense Delbaere,Person,vrouwelijk,1842,Aalbeke,Geen foto beschikbaar
Q115836535,Josephus Charle,Person,mannelijk,1823,Aalbeke,Geen foto beschikbaar
Q57197744,Ernestine De Seille,Person,vrouwelijk,1833,Aalter,Geen foto beschikbaar
Q115835763,Gerrit Pieter Roos,Person,mannelijk,1822,Aardenburg,Geen foto beschikbaar
Q125516501,Leonida Euphrasia Demonie,Person,vrouwelijk,1835,Aarsele,Geen foto beschikbaar
Q124619468,Amandus Devloo,Person,mannelijk,1856,Alveringem,Geen foto beschikbaar
Q125351404,Louis Vander Heyde,Person,mannelijk,1841,Alveringem,Geen foto beschikbaar
Q56036018,Albert Verwey,Person,mannelijk,1865,Amsterdam,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Albert%20Verwey%20Rijksmuseum%20SK-C-1680.jpeg
Q2627945,Ian Theodor Beelen,Person,mannelijk,1807,Amsterdam,Geen foto beschikbaar
Q2424814,Jacob Verdam,Person,mannelijk,1845,Amsterdam,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Jacob%20Verdam%2C%20hoogleraar%20Nederlandse%20Taal%20te%20Leiden%20Icones%20298.tiff
Q115839975,Joannes Alberdingk,Person,mannelijk,1788,Amsterdam,Geen foto beschikbaar
Q115831509,Joseph Alberdingk Thijm,Person,mannelijk,1820,Amsterdam,http://commons.wikimedia.org/wiki/Special:FilePath/Josephus%20Alberdingk%20Thijm%20portret%20%281864-1889%29.png
Q119003821,Louis David Petit,Person,mannelijk,1847,Amsterdam,Geen foto beschikbaar
Q115979048,Paul Alberdingk Thijm,Person,mannelijk,1827,Amsterdam,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Paul%20Alberdingk%20Thijm.jpg
Q2332586,Alexandre Marie Ghislain Gillès de Pélichy,Person,mannelijk,1844,Antwerpen,Geen foto beschikbaar
Q119013806,Aloïs Nelis,Person,mannelijk,1842,Antwerpen,Geen foto beschikbaar
Q42596,Frans De Cort,Person,mannelijk,1834,Antwerpen,Geen foto beschikbaar
Q571426,Hendrik Claes,Person,mannelijk,1849,Antwerpen,Geen foto beschikbaar
Q115815004,Hendrik Conscience,Person,mannelijk,1812,Antwerpen,http://commons.wikimedia.org/wiki/Special:FilePath/Hendrik%20Conscience.jpg
Q7190386,Jan Van Beers,Person,mannelijk,1821,Antwerpen,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Van%20Beers.jpg
Q123741345,Julius Bouten,Person,mannelijk,1859,Antwerpen,Geen foto beschikbaar
Q672816,Max Rooses,Person,mannelijk,1839,Antwerpen,http://commons.wikimedia.org/wiki/Special:FilePath/Max%20Rooses.jpg
Q42306892,Pieter Génard,Person,mannelijk,1830,Antwerpen,http://commons.wikimedia.org/wiki/Special:FilePath/PieterG%C3%A9nard.jpg
Q113681935,Victor Alexis dela Montagne,Person,mannelijk,1854,Antwerpen,http://commons.wikimedia.org/wiki/Special:FilePath/Victor%20De%20la%20Montagne.png
Q2658862,Auguste Reynaert,Person,mannelijk,1833,Anzegem,http://commons.wikimedia.org/wiki/Special:FilePath/Kortrijk%20Astridpark-11.JPG
Q116687356,Leonardus Lootens,Person,mannelijk,1858,Anzegem,Geen foto beschikbaar
Q2770967,Eugenie Marie Delbaere,Person,vrouwelijk,1854,Ardooie,Geen foto beschikbaar
Q114945031,Leonie Sophie Marie De Ketelaere,Person,vrouwelijk,1850,Assebroek,Geen foto beschikbaar
Q2754460,Pieter Raoux,Person,mannelijk,1845,Assebroek,Geen foto beschikbaar
Q5026719,Camille Lateur,Person,mannelijk,1841,Avelgem,Geen foto beschikbaar
Q2087117,Raymond Muyldermans,Person,mannelijk,1864,Balen,Geen foto beschikbaar
Q21549953,Joaquim Rubió i Ors,Person,mannelijk,1818,Barcelona,http://commons.wikimedia.org/wiki/Special:FilePath/Rubio%20i%20ors.jpg
Q123689972,Camiel-Hector Marichal,Person,mannelijk,1860,Beernem,Geen foto beschikbaar
Q56174577,Catherine O'Farrell,Person,vrouwelijk,1869,Belfast,Geen foto beschikbaar
Q116689485,Élie Henri Marie Félix de Coussemaker,Person,mannelijk,1845,Belle,Geen foto beschikbaar
Q15461013,François Auguste Van Costenoble,Person,mannelijk,1821,Belle,Geen foto beschikbaar
Q115827506,Ignace de Coussemaker,Person,mannelijk,1842,Belle,Geen foto beschikbaar
Q117244395,René-François Flahault,Person,mannelijk,1838,Belle,Geen foto beschikbaar
Q76019711,Johannes Franck,Person,mannelijk,1854,Bendorf,Geen foto beschikbaar
Q43140929,Adolf Pauwels,Person,mannelijk,1864,Berchem,Geen foto beschikbaar
Q131928133,P. F. Van De Meulebroucke,Person,mannelijk,1823,Berchem,Geen foto beschikbaar
Q115819139,Paul Kiroul,Person,mannelijk,1873,Berchem,Geen foto beschikbaar
Q354052,Jean Joseph Loiseaux,Person,mannelijk,1815,Bergen,Geen foto beschikbaar
Q115818168,August Cuppens,Person,mannelijk,1862,Beringen,Geen foto beschikbaar
Q110039191,Alfons Bouckaert,Person,mannelijk,1867,Beveren,Geen foto beschikbaar
Q122963909,Edouardus Vyncke,Person,mannelijk,1822,Beveren,Geen foto beschikbaar
Q2065109,Felix Degrendel,Person,mannelijk,1836,Beveren,Geen foto beschikbaar
Q115982548,Isidoor Hemeryck,Person,mannelijk,1843,Beveren,Geen foto beschikbaar
Q123050504,Leonard Lodewijk De Bo,Person,mannelijk,1826,Beveren,http://commons.wikimedia.org/wiki/Special:FilePath/Leonard%20Lodewijk%20De%20Bo.jpg
Q122790642,Maria De Bo,Person,vrouwelijk,1828,Beveren,Geen foto beschikbaar
Q125544971,Victor Van Coillie,Person,mannelijk,1838,Beveren,Geen foto beschikbaar
Q118555164,Katherine Wharton,Person,vrouwelijk,1853,Beverley,Geen foto beschikbaar
Q1978131,Henri Van De Wattyne,Person,mannelijk,1859,Biervliet,Geen foto beschikbaar
Q118644563,Virginie Nyffels,Person,vrouwelijk,1825,Bissegem,Geen foto beschikbaar
Q116508674,Robert John Stanislaw Edmonstone,Person,mannelijk,1844,Blackburn,Geen foto beschikbaar
Q119794240,Heinrich Hubert Schmitz,Person,mannelijk,1835,Bonn,Geen foto beschikbaar
Q3166510,Joannes Spillemaeckers,Person,mannelijk,1857,Boom,Geen foto beschikbaar
Q117246781,Louisa Maria Anna Verdbois,Person,vrouwelijk,1846,Bouillon,Geen foto beschikbaar
Q115844249,Richard Andree,Person,mannelijk,1835,Braunschweig,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A0%D0%B8%D1%85%D0%B0%D1%80%D0%B4%20%D0%90%D0%BD%D0%B4%D1%80%D0%B5.jpg
Q115980136,Jemima Stroud,Person,vrouwelijk,1812,Brentford,Geen foto beschikbaar
Q122780659,Mary Ann F. Andrewes,Person,vrouwelijk,1812,Brentford,Geen foto beschikbaar
Q116688354,Lucy Weguelin,Person,vrouwelijk,1839,Brighton,Geen foto beschikbaar
Q119006339,Robert Coffin,Person,mannelijk,1819,Brighton,Geen foto beschikbaar
Q121002664,Joseph Cox Algar,Person,mannelijk,1819,Bristol,Geen foto beschikbaar
Q116621328,Mary Catherine Cole,Person,vrouwelijk,1858,Bristol,Geen foto beschikbaar
Q119701807,John Joseph Peter Ross,Person,mannelijk,1800,Brompton,Geen foto beschikbaar
Q113754119,Adolf De Wolf,Person,mannelijk,1844,Brugge,Geen foto beschikbaar
Q2524668,Adolf Duclos,Person,mannelijk,1841,Brugge,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Duclos001.jpg
Q4722117,Adolf Lootens,Person,mannelijk,1835,Brugge,Geen foto beschikbaar
Q118142378,Alfons Algoet,Person,mannelijk,1847,Brugge,Geen foto beschikbaar
Q2298746,Aloïs Van de Pitte,Person,mannelijk,1859,Brugge,Geen foto beschikbaar
Q11071766,Alphonse De Leyn,Person,mannelijk,1839,Brugge,Geen foto beschikbaar
Q62117109,Antoine Wemaer,Person,mannelijk,1812,Brugge,Geen foto beschikbaar
Q120999304,Auguste Reyns,Person,mannelijk,1849,Brugge,Geen foto beschikbaar
Q115825488,Auguste Van Speybrouck,Person,mannelijk,1843,Brugge,Geen foto beschikbaar
Q115840920,Augustinus De Geetere,Person,mannelijk,1839,Brugge,Geen foto beschikbaar
Q115829623,Bernard Joseph Weale,Person,mannelijk,1865,Brugge,Geen foto beschikbaar
Q117409336,Caesar Gezelle,Person,mannelijk,1875,Brugge,Geen foto beschikbaar
Q122974430,Charles Gillès de Pelichy,Person,mannelijk,1872,Brugge,Geen foto beschikbaar
Q55233295,Charles Joseph Vercauteren,Person,mannelijk,1806,Brugge,Geen foto beschikbaar
Q1149378,Charles van Caloen,Person,mannelijk,1815,Brugge,http://commons.wikimedia.org/wiki/Special:FilePath/PM%20161806%20B%20Loppem%20%28Charles%20van%20Caloen%29.jpg
Q115834834,Cyril James Weale,Person,mannelijk,1857,Brugge,Geen foto beschikbaar
Q55911879,Denis Auguste Julien Roger,Person,mannelijk,1866,Brugge,Geen foto beschikbaar
Q122903342,Dymphna Gezelle,Person,vrouwelijk,1873,Brugge,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20Dymphna%20Gezelle%20%282%29.jpg
Q115836962,Edmond De Plancke,Person,mannelijk,1842,Brugge,Geen foto beschikbaar
Q110039219,Edward Gailliard,Person,mannelijk,1841,Brugge,Geen foto beschikbaar
Q115808465,Emile Florimond Herman Van Biervliet,Person,mannelijk,1851,Brugge,Geen foto beschikbaar
Q1334711,Emilie van Outryve d'Ydewalle,Person,vrouwelijk,1826,Brugge,Geen foto beschikbaar
Q120556695,Ernestine Francisca Marie Van Langermeersch,Person,vrouwelijk,1853,Brugge,Geen foto beschikbaar
Q116621789,Eugeen-Karel Van Steenkiste,Person,mannelijk,1841,Brugge,Geen foto beschikbaar
Q122964092,Florence Gezelle,Person,vrouwelijk,1847,Brugge,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20van%20Florence%20Gezelle.jpg
Q15956,François De Brouwer,Person,mannelijk,1846,Brugge,Geen foto beschikbaar
Q121078001,François Van den Abeele,Person,mannelijk,1824,Brugge,Geen foto beschikbaar
Q125541827,Gustave Delescluze,Person,mannelijk,1842,Brugge,Geen foto beschikbaar
Q115840173,Hendrik Pickery,Person,mannelijk,1828,Brugge,http://commons.wikimedia.org/wiki/Special:FilePath/Hendrik%20Pickery%20gedenkteken%20R03.jpg
Q129069726,Hortense Gezelle,Person,vrouwelijk,1866,Brugge,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20van%20Hortense%20Gezelle.jpg
Q116508494,Jean-Baptiste de Bethune jr.,Person,mannelijk,1853,Brugge,Geen foto beschikbaar
Q120733873,Johan De Stoop,Person,mannelijk,1824,Brugge,Geen foto beschikbaar
Q61506427,Joseph Axters,Person,mannelijk,1850,Brugge,Geen foto beschikbaar
Q1707941,Joseph Gezelle,Person,mannelijk,1840,Brugge,Geen foto beschikbaar
Q115811334,Joseph Herreboudt,Person,mannelijk,1841,Brugge,Geen foto beschikbaar
Q3185717,Joseph Louis Van Heede,Person,mannelijk,1862,Brugge,Geen foto beschikbaar
Q2306925,Joseph Ryelandt,Person,mannelijk,1870,Brugge,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Ryelandt.jpg
Q123055332,Joseph Van Damme,Person,mannelijk,1856,Brugge,Geen foto beschikbaar
Q122872579,Jozef Gezelle,Person,mannelijk,1867,Brugge,Geen foto beschikbaar
Q101627274,Jules Perquy,Person,mannelijk,1870,Brugge,Geen foto beschikbaar
Q2542423,Karel Beyaert,Person,mannelijk,1848,Brugge,Geen foto beschikbaar
Q41885755,Karel De Flou,Person,mannelijk,1853,Brugge,Geen foto beschikbaar
Q115835156,Leon Auguste Joseph Marie Verhoef,Person,mannelijk,1866,Brugge,Geen foto beschikbaar
Q110039170,Léon van Ockerhout,Person,mannelijk,1829,Brugge,Geen foto beschikbaar
Q86735347,Lodewijk Van Haecke,Person,mannelijk,1829,Brugge,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20pastoor%20L.%20Van%20Haecke%2C%201897%2C%20Groeningemuseum%2C%200040504000.jpg
Q119627464,Louis De Plancke,Person,mannelijk,1869,Brugge,Geen foto beschikbaar
Q125819387,Louis Gilliodts,Person,mannelijk,1827,Brugge,Geen foto beschikbaar
Q64727835,Louise Gezelle,Person,vrouwelijk,1834,Brugge,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20van%20Louise%20Gezelle%20en%20Stijn%20Streuvels.jpg
Q116672748,Maria Magdalena Gezelle,Person,vrouwelijk,1878,Brugge,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20Philomena%20De%20Smet%2C%20Maria%20Gezelle%20en%20Hortense%20Gezelle%20%28cropped%29.jpg
Q116510958,Marie Thérèse Joseph Anne Louise Julie Flore Clotilde Roels,Person,vrouwelijk,1848,Brugge,Geen foto beschikbaar
Q75320317,Mary Margaret Weale,Person,vrouwelijk,1869,Brugge,Geen foto beschikbaar
Q118612085,Mathilde Sophie Theresia Renodeyn,Person,vrouwelijk,1839,Brugge,Geen foto beschikbaar
Q116621407,Medardus Van De Poele,Person,mannelijk,1840,Brugge,Geen foto beschikbaar
Q125538145,Octavie Petyt,Person,vrouwelijk,1852,Brugge,Geen foto beschikbaar
Q123413906,Romaan Gislijn Gezelle,Person,mannelijk,1832,Brugge,Geen foto beschikbaar
Q116621828,Séraphine Cathérine De Wulf,Person,vrouwelijk,1810,Brugge,Geen foto beschikbaar
Q719358,Stéphanie Hendryckx,Person,vrouwelijk,1839,Brugge,Geen foto beschikbaar
Q3557112,Theophiel Goethals,Person,mannelijk,1843,Brugge,Geen foto beschikbaar
Q125535061,Vitalis Jerome Joannes Trogh,Person,mannelijk,1844,Brugge,Geen foto beschikbaar
Q118189670,Cathérine Joséphine Mesnage,Person,vrouwelijk,1839,Brussel,Geen foto beschikbaar
Q123414143,Eugène Charles Jean Valentin de Peñaranda,Person,mannelijk,1839,Brussel,Geen foto beschikbaar
Q116508871,Gustave Henri Flamen,Person,mannelijk,1837,Brussel,Geen foto beschikbaar
Q113627806,Hendrik Brinck,Person,mannelijk,1830,Brussel,Geen foto beschikbaar
Q118136722,Philippe Van der Haeghen,Person,mannelijk,1825,Brussel,Geen foto beschikbaar
Q123722465,Prosper Antoine Van Langendonck,Person,mannelijk,1862,Brussel,http://commons.wikimedia.org/wiki/Special:FilePath/Langendonck.jpg
Q122833200,Michael Buckley,Person,mannelijk,1800,Cahir,Geen foto beschikbaar
Q118189985,Frederick William Faber,Person,mannelijk,1814,Calverley,http://commons.wikimedia.org/wiki/Special:FilePath/Frederick%20William%20Faber.jpg
Q116620896,William Crombleholme,Person,mannelijk,1825,Chipping,Geen foto beschikbaar
Q115806424,Jonathan Henry Woodward,Person,mannelijk,1805,County Cavan,Geen foto beschikbaar
Q120556534,Delphine Frederica Marie Blancke,Person,vrouwelijk,1847,Dadizele,Geen foto beschikbaar
Q116620937,Julianus Maria Isidorus Blancke,Person,mannelijk,1844,Dadizele,Geen foto beschikbaar
Q22002048,Pieter Busschaert,Person,mannelijk,1840,Damme,Geen foto beschikbaar
Q100534520,Adolf Verriest,Person,mannelijk,1830,Deerlijk,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Karel%20vader%20Petrus%20moeder%20Carolina%20Verriest%20in%201861.jpg
Q2496044,Gustaaf Verriest,Person,mannelijk,1843,Deerlijk,http://commons.wikimedia.org/wiki/Special:FilePath/Gustaaf%20Louise%20Oda%20Hugo%20Verriest%20in%201861.jpg
Q115818849,Hugo Verriest,Person,mannelijk,1840,Deerlijk,http://commons.wikimedia.org/wiki/Special:FilePath/HugoVerriest.jpg
Q115979996,Julius Pieter Lodewijk Vantomme,Person,mannelijk,1811,Deerlijk,Geen foto beschikbaar
Q122987963,Oda Verriest,Person,vrouwelijk,1832,Deerlijk,Geen foto beschikbaar
Q5580544,Adrianus Bogaers,Person,mannelijk,1795,Den Haag,http://commons.wikimedia.org/wiki/Special:FilePath/Adrianus%20Bogaers.jpg
Q125342034,Marguerite Marie Josephine Sonck,Person,vrouwelijk,1882,Denderleeuw,Geen foto beschikbaar
Q3080591,Emmanuel Hiel,Person,mannelijk,1834,Dendermonde,http://commons.wikimedia.org/wiki/Special:FilePath/Hiel%2C%20Emmanuel%20%281834-1899%29%3B%20dichter%20en%20schrijver%2C%20Nauwens%2C%20Joseph%2C%20Felixarchief%2C%2012%2012840.jpg
Q116621363,Mary Constantia Clifford,Person,vrouwelijk,1825,Devon,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20Mary%20Clifford.jpg
Q115807960,Polydoor Dionysius Daniëls,Person,mannelijk,1845,Diest,http://commons.wikimedia.org/wiki/Special:FilePath/Eerwaarde%20Heer%20pastoor%20Dani%C3%ABls%2C%20PA04467.jpg
Q115818151,Theophilus Roucourt,Person,mannelijk,1834,Diest,Geen foto beschikbaar
Q115820635,Alfred Guichon de Grandpont,Person,mannelijk,1807,Dijon,Geen foto beschikbaar
Q125472556,Charles Delcour,Person,mannelijk,1811,Dolhain,http://commons.wikimedia.org/wiki/Special:FilePath/Membres%20du%20Minist%C3%A8re%20%28Delcour%29.jpg
Q116620790,Samuel Roper,Person,mannelijk,1800,Dorset,Geen foto beschikbaar
Q120718341,Edezius Goormachtigh,Person,mannelijk,1843,Dottenijs,Geen foto beschikbaar
Q115837633,Louis Goormachtigh,Person,mannelijk,1836,Dottenijs,Geen foto beschikbaar
Q822307,Bartholomew Woodlock,Person,mannelijk,1819,Dublin,http://commons.wikimedia.org/wiki/Special:FilePath/Bartholomew%20Woodlock%2C%20portrait.png
Q122853878,Catherine Hart,Person,vrouwelijk,1823,Dublin,Geen foto beschikbaar
Q120472271,Katharine Woodlock,Person,vrouwelijk,1837,Dublin,Geen foto beschikbaar
Q118766019,William Woodlock,Person,mannelijk,1801,Dublin,Geen foto beschikbaar
Q125490771,Alexandre Bonvarlet,Person,mannelijk,1826,Duinkerke,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Bonvarlet%20by%20Michel%20Berthaud.jpg
Q120855780,Louise Adèle Pauline Van Brabant,Person,vrouwelijk,1850,Duinkerke,Geen foto beschikbaar
Q56036026,Sidonie Mahieu,Person,vrouwelijk,1838,Duinkerke,Geen foto beschikbaar
Q119040354,Charles Grant Edmonstone,Person,mannelijk,1841,Dumbarton,Geen foto beschikbaar
Q2715338,Cecilia Sarah De Lisle,Person,vrouwelijk,1826,Edinburgh,Geen foto beschikbaar
Q116621487,Carolus Van den Broucke,Person,mannelijk,1827,Eernegem,Geen foto beschikbaar
Q123697088,Edward Van Robays,Person,mannelijk,1855,Egem,Geen foto beschikbaar
Q116660566,Felix Verstraete,Person,mannelijk,1819,Egem,Geen foto beschikbaar
Q56036025,Rosalia Verstraete,Person,vrouwelijk,1827,Egem,Geen foto beschikbaar
Q120973922,Paul Van Dorpe,Person,mannelijk,1853,Eine,Geen foto beschikbaar
Q115831039,Amand de Vos,Person,mannelijk,1840,Eksaarde,http://commons.wikimedia.org/wiki/Special:FilePath/Wazenaar%20Amand%20de%20Vos.jpg
Q2062803,Vital De Vos,Person,mannelijk,,Eksaarde,Geen foto beschikbaar
Q115815852,Elodie De Beer,Person,vrouwelijk,1858,Elene,Geen foto beschikbaar
Q2159132,Pieter Baes,Person,mannelijk,1848,Elverdinge,Geen foto beschikbaar
Q64302,Remigius De Ryckere,Person,mannelijk,1837,Emelgem,Geen foto beschikbaar
Q120721942,Edmund Benedict Hicks,Person,mannelijk,1841,Emsworth,Geen foto beschikbaar
Q116508558,Ann Jordan,Person,vrouwelijk,1831,Engeland,Geen foto beschikbaar
Q14331462,Robrecht Willaert,Person,mannelijk,1840,Esen,Geen foto beschikbaar
Q115980044,Isabelle Marie de Proli,Person,vrouwelijk,1821,Essen,Geen foto beschikbaar
Q3531475,Joannes De Neve,Person,mannelijk,1821,Evergem,Geen foto beschikbaar
Q2617184,Justine Van De Velde,Person,vrouwelijk,1810,Evergem,http://commons.wikimedia.org/wiki/Special:FilePath/Bidprentje%20Justine%20Van%20de%20Velde.jpg
Q1877721,Catherine Simpson Mackenzie,Person,vrouwelijk,1830,Fortrose,Geen foto beschikbaar
Q3421496,Alphonse de Voss,Person,mannelijk,1840,Frankrijk,Geen foto beschikbaar
Q123051567,Agnes Cecilia Young,Person,vrouwelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
Q586323,Albert Aimé Marie Vandewalle,Person,mannelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
Q120973166,Alfons Steinmetz,Person,mannelijk,1838,Geboorteplaats niet bekend,Geen foto beschikbaar
Q123050649,Angelus August Eugeen Angillis,Person,mannelijk,1830,Geboorteplaats niet bekend,Geen foto beschikbaar
Q125535110,August Selosse,Person,mannelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
Q120640333,Charles Alban Buckler,Person,mannelijk,1824,Geboorteplaats niet bekend,Geen foto beschikbaar
Q5006521,Charles Denys,Person,mannelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
Q3538623,Charles Joseph Pagliano,Person,mannelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
Q2457997,Clara Andrews,Person,vrouwelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
Q115839353,Edouard Lietaer,Person,mannelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
Q120644522,Emiel Van Den Berghe,Person,mannelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
Q125352256,Ernest Edouard Marie Eeman,Person,mannelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
Q115814591,Eugène Cortyl,Person,mannelijk,1846,Geboorteplaats niet bekend,Geen foto beschikbaar
Q2684959,Felix De Nolf,Person,mannelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
Q2606766,George Parker,Person,mannelijk,1838,Geboorteplaats niet bekend,Geen foto beschikbaar
Q378133,Heloise Geneviève Gruselle,Person,vrouwelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
Q115979994,Henri Nolf,Person,mannelijk,1818,Geboorteplaats niet bekend,Geen foto beschikbaar
Q117244596,Hippoliet Verhulst,Person,mannelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
Q120176244,Jan Baptist Vervliet,Person,mannelijk,1855,Geboorteplaats niet bekend,Geen foto beschikbaar
Q115820195,John Crawley,Person,mannelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
Q120999228,Jozef Bahri,Person,mannelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
Q115836854,Laura Perkins,Person,vrouwelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
Q115844668,Leon Verwilghen,Person,mannelijk,,Geboorteplaats niet bekend,Geen foto beschikbaar
